Time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18
2026-06-30 15:39:30.346,0,0,7028,0,0,0,2116,0,0,0,0,0,3631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:30.353,0,0,7028,0,0,0,2116,0,0,0,0,0,3631,0,0,0,0,0,0,0,5477,0,0,0,1446,0,8946,0,0,0,4287,0,0,0,583,0
2026-06-30 15:39:30.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5482,0,0,0,1418,0,8960,0,0,0,4246,0,0,0,583,0
2026-06-30 15:39:30.456,0,0,7003,0,0,0,2110,0,0,0,0,0,3614,0,0,0,0,0,0,0,5482,0,0,0,1418,0,8960,0,0,0,4246,0,0,0,583,0
2026-06-30 15:39:30.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514,0,0,0,1379,0,9019,0,0,0,4248,0,0,0,607,0
2026-06-30 15:39:30.560,0,0,6987,0,0,0,2135,0,0,0,0,0,3591,0,0,0,0,0,0,0,5514,0,0,0,1379,0,9019,0,0,0,4248,0,0,0,607,0
2026-06-30 15:39:30.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5526,0,0,0,1446,0,9021,0,0,0,4285,0,0,0,597,0
2026-06-30 15:39:30.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519,0,0,0,1473,0,9025,0,0,0,4329,0,0,0,597,0
2026-06-30 15:39:30.764,0,0,6899,0,0,0,2169,0,0,0,0,0,3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:30.767,0,0,6899,0,0,0,2169,0,0,0,0,0,3591,0,0,0,0,0,0,0,5506,0,0,0,1485,0,9011,0,0,0,4329,0,0,0,586,0
2026-06-30 15:39:30.769,0,0,6919,0,0,0,2159,0,0,0,0,0,3606,0,0,0,0,0,0,0,5506,0,0,0,1485,0,9011,0,0,0,4329,0,0,0,586,0
2026-06-30 15:39:30.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5452,0,0,0,1495,0,8955,0,0,0,4371,0,0,0,597,0
2026-06-30 15:39:30.873,0,0,6938,0,0,0,2175,0,0,0,0,0,3616,0,0,0,0,0,0,0,5452,0,0,0,1495,0,8955,0,0,0,4371,0,0,0,597,0
2026-06-30 15:39:30.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5358,0,0,0,1554,0,8831,0,0,0,4495,0,0,0,647,0
2026-06-30 15:39:30.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5316,0,0,0,1619,0,8798,8,0,0,4554,0,0,0,718,0
2026-06-30 15:39:31.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5353,0,0,0,1662,0,8809,38,0,0,4589,0,0,0,757,0
